    1383,    1429,    1361,    1347,    1235,    1308,    1216,    1173,    1236,    1118,    1125,    1065,    1036,    1006,     929,     879,     856,     801,     748,     698,     670,     591,     543,     512,     471,     435,     391,     354,     349,     313,     300,       0,       0,       0,       0,       0,       0,       0,       0,       0,     571,       0,       0,       0,       0,       0,       0,
    1328,    1237,    1274,    1298,    1238,    1235,    1206,    1189,    1086,    1044,    1078,    1053,     994,     960,     873,     830,     843,     773,     665,     644,     620,     575,     508,     476,     451,     402,     362,     342,     333,     308,       0,     242,       0,       0,       0,       0,       0,       0,       0,       0,     457,       0,       0,     NaN,     NaN,     NaN,     NaN,
    1195,    1232,    1214,    1217,    1176,    1167,    1100,    1112,    1047,     978,     987,     937,     967,     903,     829,     820,     797,     686,     670,     597,     569,     530,     516,     466,     419,     386,     346,     320,     297,     263,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,
    1084,    1111,    1108,    1113,    1080,    1071,     973,    1015,     971,     982,     932,     850,     904,     712,     760,     760,     690,     629,     597,     599,     467,     494,     486,     438,     374,     362,     333,     291,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     301,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,
    1018,    1039,    1027,    1018,     994,    1001,     943,     967,     890,     897,     857,     809,     828,     744,     718,     725,     613,     578,     571,     521,     489,     453,     421,     409,     373,     323,     269,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     547,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     961,     927,     995,     919,     947,     920,     909,     926,     864,     859,     750,     779,     711,     679,     674,     632,     563,     561,     507,     474,     457,     419,     394,     327,     316,     295,     304,       0,     217,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     327,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     901,     896,     905,     868,     887,     863,     863,     800,     784,     782,     718,     691,     673,     637,     597,     577,     551,     529,     476,     429,     407,     399,     375,     321,     318,     277,       0,       0,       0,       0,       0,     168,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     830,     815,     798,     796,     798,     768,     751,     736,     734,     697,     636,     647,     605,     584,     553,     529,     485,     486,     453,     379,     369,     366,     293,     285,     278,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     470,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     751,     724,     755,     737,     707,     707,     698,     669,     662,     614,     613,     629,     539,     545,     491,     447,     462,     440,     396,     344,     362,     322,     290,     257,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     696,     689,     681,     684,     668,     645,     620,     611,     602,     559,     527,     548,     518,     481,     454,     395,     410,     378,     358,     334,     316,     276,     255,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     217,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     607,     611,     576,     590,     614,     560,     553,     540,     509,     517,     503,     466,     441,     441,     382,     375,     360,     319,     321,     282,     273,       0,     219,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     383,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     517,     529,     489,     516,     493,     489,     482,     467,     459,     442,     439,     421,     386,     360,     356,     342,     309,     262,     285,     245,       0,     224,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     488,     489,     440,     464,     466,     446,     442,     425,     416,     388,     378,     349,     316,     350,     296,     307,     274,     251,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     329,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     418,     420,     408,     415,     384,     386,     370,     374,     371,     321,     335,     303,     312,     304,     285,     276,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     349,     357,     324,     338,     325,     327,     336,     320,     287,     286,     290,     266,     265,       0,     233,     228,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     290,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     285,     328,     304,     322,     286,     275,     295,     295,       0,     253,     250,     235,     242,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     267,     269,     263,       0,     264,     262,     222,     238,     226,     211,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
       0,     227,       0,       0,       0,     200,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     200,       0,       0,       0,       0,       0,       0,       0,       0,     164,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
