Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       07-15-2024
Time HH:MM:SS          ,       11:35:43


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.015
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -2.178
Beam Center Y [mm]     ,       1.532
Beam Diameter X [mm]   ,       4.076
Beam Diameter Y [mm]   ,       3.099


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       5.304
Pupil Diameter Y [mm]  ,       5.304
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
    1506,    1443,    1405,    1356,    1318,    1286,    1224,    1144,    1124,     989,     931,     853,     788,     755,     676,     558,     519,     537,     444,     326,     329,     265,     195,     158,     113,      54,      61,      24,      26,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
    1301,    1267,    1207,    1185,    1127,    1096,    1113,     957,     877,     882,     801,     728,     691,     621,     541,     502,     425,     381,     352,     341,     234,     194,     146,     129,      70,      48,      34,      27,       6,     NaN,       1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      32,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
    1083,    1032,    1019,    1033,     955,     950,     886,     837,     830,     777,     695,     645,     614,     560,     482,     437,     363,     296,     301,     221,     178,     105,     116,      96,      57,      35,      36,       3,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,       7,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     956,     918,     850,     885,     812,     825,     715,     690,     726,     641,     606,     566,     548,     471,     436,     333,     279,     234,     226,     160,     155,     116,      76,      69,      29,       9,      10,      12,       3,     NaN,       1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,       2,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     766,     736,     580,     681,     677,     702,     587,     624,     593,     524,     477,     471,     401,     352,     275,     229,     207,     202,     150,     128,     118,     110,      48,      39,      10,      20,       1,       2,       1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      88,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     611,     639,     606,     606,     576,     606,     484,     481,     446,     401,     408,     353,     298,     273,     216,     201,     190,     139,     113,     103,     101,      66,      36,      31,      26,      11,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     524,     492,     538,     522,     492,     465,     397,     430,     407,     326,     276,     242,     251,     229,     153,     147,     115,     101,      94,      73,      53,      26,      19,      23,       2,     NaN,       1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,       8,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     420,     383,     406,     371,     378,     321,     286,     346,     299,     272,     240,     208,     169,     143,     113,     105,      75,      69,      70,      34,      11,      28,     NaN,       1,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      93,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     371,     343,     319,     334,     319,     282,     240,     256,     200,     192,     146,     149,     128,     110,      98,      45,      63,      41,      41,      44,      14,      13,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      23,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     252,     250,     261,     269,     185,     214,     186,     171,     170,     152,     113,     114,      81,      71,      35,      41,      28,      23,       9,      12,       3,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
