       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     266,       0,     319,     340,     371,     413,     439,     491,     487,     546,     579,     591,     646,     646,     728,     778,     855,     828,     858,     899,     953,     926,    1000,    1003,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     314,     347,     351,     388,     417,     451,     463,     504,     543,     585,     646,     659,     667,     740,     780,     812,     870,     881,     922,     946,     975,    1013,    1057,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     279,     290,     316,     338,     359,     393,     421,     426,     493,     528,     538,     613,     633,     682,     742,     785,     828,     744,     868,     921,     963,    1008,    1001,    1078,    1083,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     242,     267,     274,     317,     368,     364,     383,     436,     478,     513,     495,     572,     619,     663,     698,     754,     803,     864,     850,     940,     961,     934,    1018,    1009,    1038,    1114,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     313,     341,     349,     335,     419,     429,     493,     503,     552,     590,     648,     674,     737,     771,     881,     828,     953,     922,     966,     972,    1065,    1097,    1157,    1163,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     251,       0,     270,     326,     347,     385,     425,     443,     497,     541,     572,     601,     704,     721,     775,     772,     887,     899,     929,     954,     993,     980,    1044,    1091,    1137,    1138,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     278,     309,     333,     382,     383,     432,     423,     474,     539,     582,     605,     645,     749,     783,     831,     895,     909,     990,     947,    1041,    1077,    1157,    1116,    1146,    1176,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     232,       0,       0,     292,     335,     345,     393,     446,     466,     501,     553,     587,     650,     712,     746,     848,     842,     883,     884,     950,    1015,    1036,    1017,    1150,    1138,    1224,    1280,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     261,     298,     354,     376,     408,     433,     471,     530,     575,     601,     650,     678,     703,     746,     802,     852,     954,     972,    1012,    1099,    1137,    1163,    1198,    1248,    1281,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     273,     313,     352,     367,     387,     438,     487,     516,     556,     630,     614,     674,     734,     771,     808,     908,     921,    1040,    1063,    1073,    1128,    1178,    1224,    1267,    1288,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     253,     279,     311,     310,     347,     375,     409,     478,     516,     545,     622,     653,     704,     745,     771,     798,     914,     980,     971,    1049,    1114,    1105,    1189,    1211,    1289,    1313,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     271,     304,     319,     354,     365,     388,     479,     498,     528,     564,     668,     680,     749,     810,     839,     904,     975,     975,    1018,    1096,    1113,    1189,    1188,    1271,    1345,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     267,     329,     330,     335,     370,     411,     471,     519,     558,     582,     639,     643,     726,     803,     804,     846,     940,     915,    1043,    1081,    1127,    1211,    1261,    1274,    1366,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     269,     249,     321,     349,     366,     415,     457,     511,     557,     545,     657,     680,     734,     790,     794,     878,     996,     951,     989,    1016,    1132,    1220,    1182,    1356,    1355,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     292,       0,     331,     329,     374,     371,     401,     453,     481,     510,     574,     623,     685,     667,     765,     815,     907,     925,     986,    1014,    1100,    1124,    1169,    1205,    1254,    1299,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     239,       0,     303,     299,     313,     351,     390,     426,     479,     545,     404,     605,     671,     734,     802,     856,     841,     884,     853,     988,    1073,    1151,    1195,    1226,    1203,    1268,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     185,     238,     261,     301,     319,     353,     392,     422,     459,     539,     556,     610,     660,     695,     769,     777,     871,     884,     638,     949,    1047,    1069,    1149,    1203,    1264,    1349,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     238,     240,     277,     287,     323,     372,     423,     424,     485,     530,     572,     584,     664,     724,     767,     655,     905,     822,     981,    1060,    1105,    1128,    1103,    1140,    1239,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     242,     284,     307,     330,     388,     448,     437,     536,     545,     597,     647,     663,     720,     570,     853,     893,     953,     996,    1040,    1088,    1128,    1061,    1193,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     233,     245,     279,     352,     380,     428,     484,     493,     519,     583,     614,     667,     698,     768,     817,     845,     905,     986,    1022,    1047,    1128,    1137,     913,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     229,     238,     273,     305,     342,     406,     425,     446,     507,     539,     581,     630,     688,     718,     816,     806,     898,     965,     972,     959,    1042,    1149,    1150,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     215,     238,     287,     335,     355,     397,     432,     483,     516,     514,     619,     597,     673,     740,     780,     836,     880,     932,     957,    1007,    1075,    1022,
     NaN,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     233,       0,     309,     343,     393,     414,     427,     463,     508,     582,     643,     609,     670,     705,     717,     827,     861,     904,     963,     973,     947,
     NaN,     NaN,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     277,       0,     313,     336,     417,     460,     471,     543,     548,     583,     629,     671,     717,     772,     799,     855,     898,     892,     997,
     NaN,     NaN,     NaN,     NaN,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     243,     236,     269,     303,     343,     376,     411,     429,     501,     533,     530,     602,     605,     666,     716,     771,     825,     801,     861,     881,
