Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       07-18-2024
Time HH:MM:SS          ,       14:52:24


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.010
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,       2.130
Beam Center Y [mm]     ,      -0.201
Beam Diameter X [mm]   ,       3.782
Beam Diameter Y [mm]   ,       5.441


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       5.304
Pupil Diameter Y [mm]  ,       5.304
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     298,     299,     336,     337,     355,     394,     391,     433,     449,     462,     485,     497,     521,     533,     539,     572,     586,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     293,     285,     341,     348,     368,     425,     436,     425,     450,     481,     507,     539,     533,     607,     497,     591,     611,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     246,       0,       0,       0,     313,     338,     359,     394,     417,     328,     448,     526,     496,     503,     524,     562,     584,     643,     649,     629,     673,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     277,     314,     309,     317,     356,     382,     411,     385,     409,     447,     467,     543,     511,     588,     636,     623,     655,     679,     699,     709,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     316,     304,     310,     348,     348,     441,     437,     437,     476,     501,     515,     603,     580,     622,     633,     664,     686,     706,     684,     660,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     304,     314,     319,     348,     371,     408,     478,     478,     441,     488,     499,     566,     662,     579,     639,     717,     732,     749,     762,     788,     797,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     307,     317,     381,     370,     404,     454,     452,     517,     491,     534,     556,     593,     625,     652,     669,     724,     700,     715,     820,     705,     842,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     293,     317,     338,     375,     389,     430,     432,     490,     480,     567,     607,     609,     645,     661,     602,     732,     761,     827,     786,     825,     839,     949,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     336,     329,     342,     322,     450,     463,     466,     531,     568,     591,     618,     680,     694,     757,     768,     836,     800,     884,     899,     910,     936,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     262,     282,     343,     367,     381,     432,     454,     473,     516,     540,     561,     595,     632,     641,     754,     755,     795,     868,     850,     860,     882,     958,     969,
