       0,     275,     291,     349,     376,     405,     448,     489,     552,     606,     649,     676,     712,     770,     812,     844,     880,     953,    1022,    1046,    1117,    1180,    1279,    1292,    1339,    1340,    1280,    1461,    1402,    1545,    1449,    1558,    1676,    1650,    1407,    1569,    1513,    1546,    1459,    1441,    1409,    1328,    1224,    1299,    1192,    1195,    1155,
       0,       0,     283,     307,     347,     380,     423,     476,     514,     519,     554,     640,     661,     726,     750,     782,     862,     877,     913,     977,    1078,    1119,    1131,    1154,    1241,    1282,    1303,    1309,    1342,    1359,    1400,    1436,    1276,    1281,    1499,    1376,    1446,    1487,    1368,    1396,    1342,    1267,    1209,    1183,    1129,    1098,    1066,
       0,       0,     267,     308,     333,     393,     365,     456,     494,     482,     552,     549,     610,     682,     698,     760,     804,     884,     918,     908,     971,     957,    1103,    1162,    1200,    1179,    1226,    1277,    1228,    1314,    1279,    1297,    1371,    1370,    1288,    1330,    1313,    1304,    1320,    1244,    1282,    1178,    1187,    1165,    1038,    1092,    1067,
       0,       0,     208,       0,     300,     333,     346,     402,     436,     465,     474,     515,     592,     620,     635,     703,     734,     822,     848,     819,     910,    1010,     924,    1047,    1079,    1085,    1155,    1162,    1178,    1202,    1201,    1178,    1324,    1215,    1159,    1283,    1207,    1189,    1206,    1150,    1151,    1161,    1045,    1056,     947,    1025,     936,
       0,       0,     242,     259,       0,     310,     319,     355,     395,     426,     452,     501,     543,     565,     602,     664,     694,     723,     764,     784,     839,     908,     927,     941,     990,    1021,    1063,    1048,    1071,    1089,    1154,    1149,    1171,    1120,    1112,    1106,    1105,    1081,    1119,    1075,    1045,    1092,    1018,    1012,     954,     903,     867,
       0,       0,       0,       0,       0,       0,     293,     353,     386,     370,     407,     446,     508,     512,     549,     576,     647,     658,     691,     767,     807,     837,     896,     880,     899,     890,     947,     959,     986,    1026,    1009,    1069,    1069,    1020,    1077,    1099,    1007,    1017,    1011,     986,     993,     984,     971,     946,     909,     862,     807,
       0,       0,       0,       0,       0,     249,     267,     309,     321,     377,     386,     418,     479,     481,     501,     558,     586,     607,     644,     691,     724,     767,     791,     822,     817,     828,     877,     895,     946,     918,     942,     921,     948,     963,     985,     976,     921,     943,     954,     914,     920,     890,     807,     865,     835,     794,     740,
       0,       0,       0,       0,       0,       0,       0,       0,     293,     315,     341,     389,     418,     422,     467,     510,     524,     548,     606,     616,     640,     705,     705,     709,     746,     736,     788,     731,     846,     877,     829,     891,     878,     896,     853,     884,     902,     900,     865,     829,     798,     808,     817,     774,     747,     743,     705,
       0,       0,       0,       0,       0,       0,       0,       0,       0,     303,     331,     349,     341,     396,     404,     466,     492,     507,     568,     545,     608,     629,     643,     704,     655,     715,     735,     733,     788,     788,     833,     837,     795,     857,     831,     831,     748,     789,     785,     743,     714,     752,     723,     699,     696,     690,     645,
       0,       0,       0,       0,       0,       0,       0,     229,     236,       0,       0,     298,     336,     368,     390,     424,     466,     446,     528,     498,     543,     551,     591,     625,     641,     630,     647,     618,     723,     714,     707,     750,     728,     748,     783,     738,     741,     709,     725,     724,     647,     623,     663,     618,     584,     599,     552,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     297,     299,     301,     349,     372,     395,     422,     451,     473,     489,     524,     525,     546,     571,     552,     564,     613,     631,     638,     651,     653,     657,     664,     659,     673,     673,     656,     620,     614,     603,     578,     574,     566,     560,     516,     516,
       0,       0,       0,       0,       0,       0,       0,       0,       0,     209,       0,     240,     268,     274,     284,     329,     349,     354,     385,     399,     451,     450,     449,     477,     483,     529,     508,     531,     582,     552,     549,     439,     574,     604,     591,     590,     608,     589,     587,     475,     516,     512,     512,     484,     476,     470,     438,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     225,       0,     262,     283,     301,     307,     356,     355,     384,     383,     393,     417,     436,     453,     467,     472,     519,     505,     523,     532,     546,     524,     521,     523,     506,     526,     503,     335,     449,     464,     441,     439,     415,     413,     418,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     225,     244,     271,     256,     283,     306,     337,     345,     345,     353,     380,     377,     419,     408,     435,     430,     446,     447,     445,     455,     460,     474,     435,     362,     447,     397,     413,     427,     385,     406,     346,     343,     330,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     179,       0,     209,       0,     218,     227,     243,     269,     303,     306,     306,     327,     304,     322,     373,     358,     375,     388,     356,     422,     394,     366,     405,     389,     390,     273,     394,     385,     367,     350,     335,     324,     318,     280,     307,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     207,       0,       0,       0,     245,     250,     235,     260,     275,     300,     296,     311,     323,     333,     333,     323,     309,     319,     345,     314,     312,     349,     318,     322,     301,     322,     297,     281,     267,     267,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     254,     223,     263,     249,     268,     272,     258,     287,     278,     270,     261,     304,     284,     298,     290,     270,     266,     268,     244,     234,     231,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     212,     216,       0,     235,       0,       0,       0,     228,       0,     224,     224,     227,       0,     235,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     191,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
