       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     312,     321,     382,     410,     456,     476,     521,     533,     606,     661,     707,     782,     837,     882,     940,     983,    1054,    1076,    1160,    1263,    1289,    1336,    1424,    1527,    1490,    1484,    1578,    1740,    1661,    1734,    1725,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     311,     337,     349,     378,     468,     448,     521,     549,     609,     688,     710,     807,     870,     894,     919,    1030,    1103,    1128,    1152,    1269,    1314,    1324,    1404,    1449,    1541,    1608,    1620,    1659,    1640,    1729,    1752,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     290,     275,     308,     320,     343,     383,     494,     529,     559,     564,     603,     663,     695,     784,     844,     852,     923,    1005,    1077,    1098,    1178,    1260,    1291,    1360,    1409,    1356,    1571,    1586,    1664,    1760,    1787,    1787,    1750,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     279,     400,     324,     492,     400,     461,     511,     534,     603,     683,     701,     827,     828,     913,     911,     919,    1019,    1148,    1232,    1208,    1259,    1344,    1435,    1478,    1527,    1601,    1503,    1661,    1688,    1760,    1736,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     310,     405,     340,     404,     470,     521,     593,     647,     665,     700,     769,     810,     895,     946,    1032,    1078,    1146,    1112,    1290,    1324,    1440,    1469,    1547,    1557,    1572,    1548,    1704,    1721,    1816,    1703,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     388,     337,     449,     468,     500,     531,     589,     625,     703,     787,     803,     902,     918,     982,    1016,    1115,    1145,    1254,    1292,    1383,    1418,    1491,    1561,    1529,    1597,    1787,    1657,    1727,    2070,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     321,     357,     384,     429,     371,     488,     534,     607,     673,     718,     752,     779,     838,     967,    1038,    1079,    1111,    1159,    1310,    1303,    1411,    1464,    1486,    1537,    1542,    1643,    1585,    1702,    1815,    1477,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     260,     269,     344,     385,     440,     456,     475,     522,     603,     624,     703,     757,     783,     864,     906,     931,    1037,    1152,    1152,    1265,    1243,    1364,    1403,    1528,    1520,    1608,    1569,    1595,    1718,    1419,    1358,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     229,     257,     333,     353,     393,     421,     462,     529,     548,     610,     660,     701,     733,     866,     928,     917,     968,    1082,    1132,    1152,    1201,    1281,    1327,    1400,    1449,    1663,    1754,    1740,    1656,    1397,    1704,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     279,     305,     356,     363,     421,     467,     536,     566,     622,     657,     708,     746,     848,     880,     914,     953,    1036,    1107,    1166,    1169,    1307,    1354,    1413,    1475,    1627,    1719,    1578,    1612,    1329,    1417,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     272,     301,     332,     370,     413,     475,     490,     515,     567,     631,     646,     744,     773,     851,     899,     936,    1013,    1047,    1101,    1118,    1282,    1303,    1358,    1436,    1511,    1526,    1532,    1702,    1559,    1146,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     277,     319,     334,     368,     433,     457,     496,     527,     598,     579,     702,     760,     781,     854,     929,     977,    1008,    1066,    1147,    1201,    1246,    1281,    1315,    1392,    1457,    1671,    1405,    1754,    1831,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     292,     341,     361,     409,     460,     480,     528,     568,     607,     678,     743,     810,     854,     897,     918,     983,    1024,    1069,    1184,    1192,    1225,    1321,    1394,    1487,    1410,    1607,    1487,    1296,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     258,     269,     330,     339,     377,     421,     469,     500,     533,     560,     636,     714,     755,     788,     819,     898,     983,    1032,    1047,    1100,    1171,    1191,    1221,    1222,    1391,    1416,    1430,    1405,    1632,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     273,     303,     328,     361,     407,     418,     497,     479,     574,     616,     644,     721,     779,     817,     867,     872,     963,    1022,    1045,    1083,    1143,    1207,    1248,    1272,    1432,    1281,    1447,    1470,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     280,     295,     339,     356,     401,     434,     478,     516,     578,     610,     670,     528,     787,     831,     871,     931,     985,    1020,    1072,     974,    1102,    1167,    1168,    1239,    1278,    1338,    1397,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     216,       0,     281,     288,     300,     346,     374,     421,     458,     500,     524,     580,     651,     663,     743,     773,     796,     850,     888,     955,     992,     706,    1063,    1111,    1093,    1215,    1159,    1293,    1306,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     250,     306,     302,     342,     355,     422,     480,     521,     528,     589,     618,     673,     699,     757,     813,     820,     736,     930,     885,     982,    1043,    1085,    1171,    1119,    1191,    1138,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     225,       0,     272,     284,     308,     343,     387,     413,     462,     500,     480,     579,     620,     655,     747,     736,     775,     607,     899,     902,     925,     961,    1010,    1084,    1052,    1028,    1101,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     220,     224,     254,     271,     285,     338,     397,     436,     498,     514,     513,     538,     615,     624,     692,     697,     798,     810,     856,     859,     924,     941,     978,     978,    1053,     752,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     261,     277,     308,     334,     404,     435,     457,     493,     530,     553,     576,     637,     688,     701,     783,     772,     819,     865,     864,     861,     911,     945,     974,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     252,     248,     254,     312,     356,     365,     409,     425,     471,     506,     513,     582,     571,     641,     708,     716,     746,     757,     783,     827,     831,     906,     825,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     203,       0,     238,     270,     302,     327,     355,     385,     387,     423,     461,     526,     568,     558,     603,     631,     633,     695,     675,     713,     742,     746,     820,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     210,       0,     262,     180,     311,     315,     382,     404,     416,     458,     460,     482,     523,     559,     569,     618,     635,     681,     664,     656,     695,
     NaN,     NaN,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     188,     225,     240,     241,     288,     311,     330,     357,     371,     417,     455,     465,     505,     475,     508,     539,     561,     599,     598,     640,     630,
