Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       06-27-2024
Time HH:MM:SS          ,       10:27:51


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.101
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,         NaN
Beam Center Y [mm]     ,         NaN
Beam Diameter X [mm]   ,         NaN
Beam Diameter Y [mm]   ,         NaN


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       1
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       3.000
Pupil Diameter Y [mm]  ,       3.000
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
       0,       0,       0,       0,       0,       0,     751,    2299,    1415,    1503,    1507,    1413,    1439,    1435,    1381,    1403,    1393,    1296,    1237,    1254,    1071,    1470,     681,    1364,    1458,    1113,    1440,    1189,       0,       0,       0,     339,       0,       0,       0,   15494,   12505,   15008,   13689,   14621,   14276,   13972,   12798,   12956,   10826,   10173,   10326,
       0,       0,       0,       0,       0,       0,       0,     822,    1443,    1033,     942,     984,     928,     975,     992,     794,     801,     813,     803,     787,    1073,     404,       0,       0,       0,       0,       0,       0,       0,       0,    2838,       0,       0,    2123,       0,    6317,    5703,    5480,    5476,    4622,    3986,    3785,    3288,    3221,    2431,    2422,    1380,
       0,       0,       0,       0,       0,       0,       0,       0,     828,     986,    1033,     963,     938,     984,     962,     861,     878,     840,     801,    1058,     583,       0,       0,    3112,     265,       0,       0,       0,    2990,    2735,    2421,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,     983,     878,     891,     832,     869,     814,     824,     799,     794,     845,     708,       0,       0,       0,       0,       0,       0,       0,    2286,    1096,       0,       0,       0,       0,       0,       0,     266,     367,       0,     276,     520,     472,     405,     364,     337,     263,     418,     413,
     452,     474,     634,       0,       0,       0,       0,       0,       0,     502,    1148,     732,     788,     821,     772,     778,     785,     730,     810,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1499,     367,     377,       0,       0,       0,       0,       0,       0,       0,       0,     406,     248,       0,       0,       0,     295,     311,     327,
     482,     420,     494,       0,       0,       0,       0,       0,       0,       0,     681,     859,     727,     691,     729,     709,     617,     779,       0,       0,       0,       0,       0,     326,     305,     457,       0,       0,       0,    1271,    1517,    2067,     691,       0,       0,     246,       0,       0,       0,     268,     295,     249,       0,       0,       0,     192,       0,
     383,     401,     432,       0,       0,       0,       0,       0,       0,       0,       0,     755,     631,     689,     674,     575,     763,       0,       0,       0,       0,       0,       0,    3466,    3516,    4180,    1334,       0,       0,       0,       0,       0,       0,       0,       0,       0,     255,     282,       0,     259,       0,       0,     235,       0,       0,       0,     225,
     345,     430,     420,       0,       0,       0,       0,       0,       0,       0,       0,       0,     899,     498,     599,     802,       0,       0,       0,       0,       0,       0,       0,     313,     465,     319,       0,       0,       0,    2576,    2194,    1632,    1299,     980,     703,       0,     257,     281,     259,     248,     237,       0,       0,       0,       0,       0,     188,
     293,     391,     523,       0,       0,       0,       0,       0,       0,       0,       0,       0,     377,     533,     477,       0,       0,       0,       0,       0,     427,       0,       0,       0,       0,       0,       0,       0,    2115,    2188,    2461,    2623,    2844,    2710,    2717,     237,       0,       0,     234,       0,       0,       0,       0,       0,     227,       0,       0,
    1355,    1452,    1396,    1637,    1762,    1800,    1574,    1790,    1941,    1844,    1860,    2023,       0,       0,    1977,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2117,    2107,    2276,    2287,    2299,    2114,    1871,       0,       0,       0,       0,       0,       0,       0,       0,       0,     280,     336,       0,
    1393,    1386,    1412,    1690,    1748,    1580,    1695,    1773,    2009,    1790,    1848,    2143,       0,       0,       0,       0,     913,    2131,    1998,    1710,    2256,    2123,    2123,    2173,    2204,    2879,     644,       0,       0,    2023,    1960,    2007,    1966,    1973,    1895,     219,       0,       0,       0,       0,     241,     306,     290,       0,       0,       0,       0,
    1049,    1069,    1131,    1450,    1489,    1466,    1470,    1600,    1615,    1643,    1850,    1836,       0,       0,    1759,       0,       0,     505,     321,       0,     524,     382,     546,     628,     628,     672,       0,       0,       0,    1944,    1869,    1793,    1822,    1516,    1634,     273,     293,     289,     247,       0,       0,       0,       0,       0,       0,       0,       0,
    1271,    1088,    1127,    1188,    1115,    1192,    1292,    1522,    1477,    1295,    1622,    1648,       0,       0,    1797,       0,       0,       0,       0,    1716,     687,       0,       0,    1942,    1842,    1787,    1831,    1761,    1759,    1802,    1724,    1722,    1707,    1110,    1526,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
    1053,    1045,    1212,    1344,    1295,    1077,    1376,    1432,    1215,    1253,    1542,    1473,       0,       0,    1986,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1579,    1571,    1550,    1203,    1561,    1427,    1412,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2878,       0,
     910,     946,    1183,    1157,    1248,    1235,    1314,    1471,    1271,    1414,    1411,    1379,    1306,    1432,    1484,       0,       0,    1710,    1308,    1574,    1369,    1391,    1242,    1422,    1066,    1432,     879,       0,       0,    1475,    1403,    1102,    1368,    1331,    1324,       0,       0,       0,       0,       0,       0,   82970,   22281,       0,       0,   78918,   50869,
     937,     897,    1001,     944,    1013,    1062,    1077,    1095,    1104,    1240,    1391,    1243,    1266,    1385,    1333,       0,       0,     396,     404,     391,     548,     539,     374,     523,     339,     440,     274,       0,    1327,    1370,    1343,    1301,    1289,    1257,    1152,   11991,    8059,   10728,    5508,    8544,    2622,    2755,     956,    2801,    2769,     673,     599,
     816,     801,     930,     973,     889,    1048,    1012,     963,    1008,    1137,    1145,    1084,    1183,    1221,    1291,    1226,       0,       0,    1587,    1399,     237,       0,    1366,    1324,    1302,    1353,    1241,    1305,    1252,    1207,    1160,    1180,    1183,    1166,    1104,    4939,    3085,    6066,    3279,    3448,    1914,     327,     444,    1638,     794,     353,     599,
     748,     812,     862,     813,     856,     899,     944,     995,     949,     996,    1003,    1016,    1039,    1139,    1156,    1046,       0,       0,    1606,    1361,       0,       0,    1179,    1164,    1154,    1149,    1174,    1097,    1093,    1093,    1020,    1030,    1023,    1038,     968,    2740,    1891,    4062,    1915,     483,    2517,    1571,     251,     409,     302,     486,      88,
     667,     716,     695,     763,     805,     841,     849,     972,     869,     874,    1016,     954,     905,    1020,    1034,     920,       0,       0,    1468,    1377,       0,       0,    1057,    1054,    1038,    1013,     992,    1013,    1036,     962,     936,     916,     911,     901,     890,    1865,    1453,    1068,     361,    1712,     733,    1118,     289,     170,       0,      85,     544,
     699,     668,     709,     700,     717,     743,     737,     809,     825,     818,     875,     787,     906,     922,     969,     851,       0,       0,     351,     508,       0,       0,     946,     651,     950,     894,     952,     902,     932,     874,     843,     837,     840,     838,     810,    1867,    1865,    1453,    1068,     361,    1712,     733,    1118,     289,     170,       0,      85,
     635,     627,     686,     653,     724,     659,     714,     735,     778,     753,     725,     749,     797,     788,     855,     778,     804,       0,     847,     857,     871,     880,     895,     856,     851,     840,     836,     800,     845,     815,     787,     757,     698,     739,     729,     618,     249,     600,     422,    1207,     312,     302,    1100,     289,     170,       0,      85,
