Power points Y
nan,nan,nan,nan,nan,nan,nan,468.0,830.0,528.0,56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,243.0,833.0,868.0,nan,nan,nan,nan,498.0,1202.0,577.0,712.0,580.0,545.0,545.0
nan,nan,nan,nan,nan,nan,nan,243.0,502.0,417.0,709.0,493.0,72.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101.0,381.0,1058.0,999.0,1361.0,56.0,nan,nan,nan,nan,nan,213.0,1018.0,521.0,581.0,505.0,521.0
nan,nan,nan,nan,nan,nan,nan,79.0,818.0,530.0,301.0,762.0,1136.0,572.0,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,591.0,1689.0,1331.0,969.0,869.0,1009.0,nan,nan,nan,nan,nan,nan,nan,157.0,899.0,410.0,459.0,395.0
nan,nan,nan,nan,nan,nan,nan,nan,745.0,520.0,643.0,765.0,626.0,1367.0,788.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,1295.0,932.0,1152.0,912.0,1359.0,317.0,nan,nan,nan,nan,nan,nan,nan,nan,112.0,896.0,502.0,488.0
nan,nan,nan,nan,nan,nan,nan,nan,549.0,766.0,604.0,900.0,928.0,865.0,893.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,981.0,1270.0,1386.0,933.0,1342.0,29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,109.0,881.0,428.0
nan,nan,nan,nan,nan,nan,nan,nan,299.0,938.0,724.0,842.0,1043.0,991.0,981.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1226.0,1239.0,1427.0,1557.0,803.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,116.0,919.0
nan,nan,nan,nan,nan,nan,nan,nan,83.0,1034.0,715.0,876.0,1030.0,996.0,1070.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1315.0,1373.0,1294.0,1701.0,231.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,123.0
nan,nan,nan,nan,nan,nan,nan,nan,148.0,987.0,804.0,924.0,1156.0,1057.0,1112.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1254.0,1696.0,1350.0,1792.0,645.0,16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,36.0,769.0,1052.0,883.0,987.0,1166.0,1014.0,1304.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1247.0,1845.0,1728.0,1568.0,1600.0,545.0,55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,95.0,1011.0,1101.0,813.0,938.0,1102.0,1163.0,1062.0,1355.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1247.0,1931.0,1718.0,1610.0,1508.0,2317.0,1544.0,264.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,130.0,921.0,869.0,941.0,935.0,1051.0,1061.0,1225.0,1144.0,1570.0,38.0,nan,nan,nan,nan,320.0,746.0,970.0,474.0,29.0,nan,nan,nan,nan,1253.0,2071.0,1925.0,1407.0,1620.0,1097.0,2181.0,1655.0,558.0,92.0,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,230.0,1178.0,919.0,924.0,861.0,946.0,1041.0,1162.0,1370.0,1135.0,1752.0,66.0,nan,nan,nan,805.0,2857.0,2654.0,2787.0,2900.0,1570.0,46.0,nan,nan,8.0,1568.0,2450.0,1809.0,2270.0,1986.0,1734.0,1398.0,1340.0,1771.0,1001.0,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,268.0,1199.0,793.0,970.0,934.0,956.0,1015.0,1166.0,1180.0,1317.0,1234.0,2068.0,124.0,nan,nan,321.0,2809.0,1704.0,1762.0,2104.0,1585.0,3231.0,1097.0,2.0,nan,4.0,1299.0,2192.0,2558.0,1309.0,307.0,14.0,3.0,3.0,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,189.0,1003.0,708.0,1011.0,928.0,1276.0,1526.0,1765.0,1668.0,1306.0,1377.0,1164.0,2193.0,127.0,nan,nan,994.0,2674.0,2022.0,1472.0,1943.0,2556.0,2458.0,2268.0,39.0,nan,1.0,1205.0,2485.0,2416.0,139.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,404.0,1028.0,600.0,776.0,651.0,557.0,575.0,490.0,469.0,610.0,1536.0,1816.0,1182.0,2028.0,122.0,nan,nan,1171.0,2537.0,2457.0,1805.0,2436.0,1743.0,2612.0,2363.0,61.0,nan,nan,1158.0,3306.0,1781.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,138.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,346.0,1976.0,1106.0,2387.0,142.0,nan,nan,546.0,3049.0,1742.0,2630.0,2606.0,1457.0,3633.0,1394.0,9.0,nan,nan,677.0,4322.0,861.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,548.0,1248.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1421.0,1912.0,2364.0,87.0,nan,nan,19.0,1399.0,3308.0,2722.0,2954.0,3769.0,2122.0,159.0,nan,nan,nan,559.0,4280.0,223.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,770.0,874.0,1567.0,737.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,559.0,2419.0,1735.0,6.0,nan,nan,nan,10.0,907.0,2010.0,1810.0,1069.0,93.0,nan,nan,nan,nan,563.0,3165.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,1954.0,1567.0,767.0,885.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.0,1470.0,2304.0,184.0,nan,nan,nan,nan,nan,3.0,15.0,nan,nan,nan,nan,nan,nan,925.0,1887.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,440.0,1204.0,1534.0
nan,nan,137.0,224.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,776.0,3087.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.0,582.0
nan,160.0,1010.0,1239.0,41.0,nan,nan,nan,nan,nan,nan,nan,nan,163.0,2604.0,130.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
427.0,949.0,511.0,1049.0,672.0,1.0,nan,nan,nan,nan,nan,nan,nan,31.0,443.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
859.0,494.0,732.0,542.0,1412.0,477.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
423.0,550.0,679.0,792.0,688.0,1380.0,187.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,103.0,2.0,nan,nan,nan,nan
463.0,554.0,529.0,568.0,726.0,1092.0,1222.0,53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128.0,1316.0,2723.0,976.0,125.0,nan,nan,nan
485.0,543.0,526.0,667.0,724.0,734.0,1482.0,951.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,287.0,1481.0,1957.0,905.0,2019.0,1535.0,492.0,3.0,nan
469.0,484.0,509.0,657.0,810.0,1011.0,707.0,1492.0,532.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,346.0,1909.0,2276.0,908.0,1721.0,1040.0,940.0,1635.0,1017.0,118.0
402.0,463.0,496.0,604.0,686.0,920.0,848.0,1800.0,1630.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,327.0,2002.0,2151.0,1163.0,1408.0,1468.0,1003.0,1157.0,737.0,1129.0,1207.0
349.0,458.0,515.0,598.0,812.0,546.0,1343.0,922.0,223.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,478.0,2127.0,2257.0,1280.0,1394.0,1514.0,1302.0,965.0,1044.0,938.0,762.0,527.0
454.0,462.0,466.0,634.0,586.0,1288.0,593.0,28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,693.0,1970.0,2000.0,1549.0,1363.0,1353.0,1295.0,1234.0,1020.0,1000.0,894.0,713.0,414.0
306.0,413.0,403.0,683.0,1035.0,299.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52.0,2556.0,2593.0,1651.0,1526.0,1384.0,1313.0,1301.0,1059.0,893.0,872.0,836.0,685.0,805.0
644.0,170.0,594.0,575.0,45.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,568.0,1657.0,1375.0,1437.0,1299.0,1291.0,1160.0,912.0,954.0,936.0,731.0,803.0,688.0
343.0,853.0,309.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,119.0,1420.0,1516.0,1576.0,1252.0,1029.0,1007.0,846.0,901.0,852.0,658.0,639.0,657.0
1.0,137.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1088.0,1783.0,1266.0,1034.0,1103.0,877.0,827.0,864.0,723.0,610.0,570.0,461.0
