Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       07-08-2024
Time HH:MM:SS          ,       11:27:01


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.040
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,       1.934
Beam Center Y [mm]     ,      -0.402
Beam Diameter X [mm]   ,       4.851
Beam Diameter Y [mm]   ,       3.280


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       5.504
Pupil Diameter Y [mm]  ,       5.504
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      42,      52,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     177,     NaN,     NaN,     NaN,     NaN,     347,     178,     264,     280,     303,     349,     388,     370,     387,     365,     358,     404,     369,     471,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,       6,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     166,     NaN,     NaN,     NaN,     NaN,     386,     348,     319,     378,     413,     446,     503,     466,     461,     536,     569,     504,     456,     620,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      90,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     102,     NaN,     NaN,     NaN,     NaN,     471,     343,     435,     505,     468,     505,     598,     621,     551,     648,     636,     649,     593,     753,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      43,      35,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     206,     NaN,     NaN,      25,     NaN,     NaN,     NaN,      82,     NaN,     NaN,     NaN,     NaN,     584,     526,     582,     625,     604,     642,     716,     814,     688,     746,     784,     811,     733,     374,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     394,     NaN,     NaN,     175,     NaN,     NaN,     NaN,      34,     NaN,     NaN,     NaN,       6,     686,     637,     703,     738,     772,     900,     916,     833,     939,     990,     936,     929,     877,     483,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     805,     NaN,     NaN,     549,     NaN,     NaN,     NaN,      72,     NaN,     NaN,     NaN,      46,     802,     804,     876,     836,    1133,     957,     890,    1033,    1166,    1158,    1116,    1124,     939,    1191,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      61,      21,       2,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     129,     926,     981,     969,    1066,     992,    1040,    1279,    1136,    1151,    1322,    1323,    1349,    1077,    1426,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     222,    1067,    1135,    1220,    1251,    1165,    1307,    1467,    1487,    1629,    1466,    1523,    1440,    1327,    1563,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     343,    1105,    1305,    1437,    1543,    1596,    1767,    1600,    1643,    1767,    1856,    1779,    1532,    1451,    1902,     NaN,
     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     495,    1299,    1578,    1612,    1697,    1761,    1830,    1915,    1955,    1888,    2139,    1960,    2009,    1787,    2070,     NaN,
