Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       07-11-2024
Time HH:MM:SS          ,       16:18:11


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.010
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,       0.017
Beam Center Y [mm]     ,       0.313
Beam Diameter X [mm]   ,       6.714
Beam Diameter Y [mm]   ,       5.187


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       5.304
Pupil Diameter Y [mm]  ,       5.304
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
    1060,    1182,    1292,    1560,    1663,    1729,    2061,    2295,    2608,    2648,    2862,    3014,    3334,    3486,    3540,    3889,    4068,    4208,    3644,    4526,    4728,    3998,    4904,    3926,    3418,    3604,    3243,    4188,    4334,    3059,    4156,    3898,    3806,    3839,    3562,    3249,    3083,    2940,    2790,    2719,    2395,    2169,    1843,    1801,    1615,    1416,    1361,
     968,    1222,    1328,    1559,    1737,    2011,    2027,    2223,    2487,    2773,    2689,    2986,    3212,    3411,    3648,    3773,    3794,    4140,    4118,    4212,    4208,    4402,    4356,    5278,    3946,    3302,    4075,    4776,    4001,    3113,    4160,    3694,    3884,    3737,    3575,    3305,    3246,    3051,    2841,    2555,    2346,    2139,    1985,    1796,    1546,    1601,     621,
    1055,    1140,    1353,    1617,    1727,    1876,    2027,    2361,    2465,    2591,    2724,    3014,    3152,    3313,    3572,    3626,    3989,    4142,    4252,    4204,    4396,    4194,    4212,    4380,    5112,    5554,    4990,    4174,    4278,    2877,    4178,    3822,    3980,    3710,    3464,    3342,    3027,    3089,    2885,    2502,    2280,    2132,    2033,    1915,    1587,    1461,     750,
     972,    1101,    1334,    1552,    1625,    1869,    2046,    2250,    2484,    2501,    2817,    3024,    3087,    3358,    3677,    3685,    3888,    3976,    4238,    4036,    4030,    4404,    4504,    4892,    4494,    4058,    4061,    3774,    4172,    3506,    3734,    3928,    3746,    3704,    3371,    3238,    3144,    2967,    2789,    2522,    2297,    2211,    2073,    1919,    1658,    1485,    1229,
     963,    1151,    1294,    1421,    1699,    1624,    1929,    2146,    2341,    2458,    2687,    2836,    3006,    3399,    3515,    3702,    3832,    4065,    4045,    4180,    4164,    4306,    4814,    4174,    4174,    4065,    3934,    4098,    4252,    4270,    3623,    3570,    3699,    3597,    3256,    3220,    3047,    2926,    2662,    2423,    2321,    2020,    1969,    1757,    1630,    1349,    1260,
    1020,    1107,    1156,    1426,    1550,    1801,    1930,    2139,    2282,    2455,    2660,    2672,    2912,    3036,    3427,    3607,    3707,    3907,    4040,    4072,    4270,    4152,    4308,    4106,    4016,    4076,    4370,    4222,    4458,    3905,    3574,    2915,    3796,    3337,    3241,    3202,    2946,    2765,    2526,    2448,    2317,    2162,    1797,    1716,    1566,    1536,    1310,
     933,     931,    1194,    1361,    1481,    1668,    1745,    1968,    2154,    2505,    2610,    2692,    2792,    2978,    3276,    3274,    3615,    3670,    3869,    3910,    3827,    4032,    4294,    4102,    4086,    4118,    3745,    3864,    4014,    4028,    4312,    3322,    3099,    3422,    3150,    2940,    2912,    2697,    2561,    2374,    2101,    2007,    1809,    1528,    1363,    1291,    1144,
     853,    1029,    1111,    1309,    1522,    1544,    1681,    1962,    2068,    2332,    2461,    2622,    2820,    2735,    2981,    3258,    3438,    3596,    3652,    3806,    3929,    3948,    3916,    4278,    3870,    3744,    3637,    3330,    3531,    3278,    2426,    3452,    3524,    3126,    3069,    3155,    2733,    2685,    2427,    2203,    2098,    1905,    1733,    1582,    1377,    1256,    1062,
     881,     898,    1036,    1185,    1331,    1519,    1780,    1875,    1969,    2100,    2345,    2470,    2691,    2789,    2932,    2978,    3273,    3453,    3486,    3570,    3752,    3733,    3793,    3899,    3470,    3520,    3171,    3422,    3070,    2385,    3462,    3277,    3441,    3212,    3109,    2880,    2681,    2466,    2412,    2106,    2031,    1882,    1571,    1468,    1281,    1194,    1036,
     733,     871,     905,    1033,    1244,    1421,    1609,    1700,    1845,    2032,    1949,    2321,    2631,    2642,    2762,    2819,    3140,    3258,    3276,    3486,    3580,    3589,    3513,    3671,    3525,    3363,    3177,    3040,    3062,    3189,    3208,    3022,    3089,    2937,    2844,    2562,    2510,    2418,    2133,    2000,    1808,    1650,    1566,    1411,    1260,    1061,     931,
     668,     814,     887,    1044,    1191,    1326,    1481,    1717,    1831,    1945,    2062,    2292,    2497,    2540,    2710,    2764,    2879,    3144,    3156,    3352,    3530,    3445,    3455,    3354,    3470,    3502,    3359,    3360,    2204,    2727,    3091,    2970,    3051,    2794,    2655,    2619,    2286,    2214,    2041,    1820,    1592,    1601,    1431,    1273,    1107,    1031,     968,
     593,     720,     817,    1024,    1002,    1262,    1471,    1499,    1608,    1817,    1949,    2147,    2118,    2426,    2606,    2654,    2819,    2889,    2959,    3035,    3285,    3264,    3320,    3243,    3359,    3237,    3358,    3585,    2435,    3047,    2963,    2966,    2886,    2447,    2570,    2478,    2299,    2135,    1977,    1739,    1679,    1440,    1319,    1181,    1056,     936,     803,
     548,     632,     801,     947,     993,    1181,    1209,    1413,    1581,    1647,    1721,    1825,    2003,    2092,    2320,    2473,    2527,    2697,    2802,    2894,    3011,    2966,    3095,    2993,    3105,    2940,    3037,    2913,    2745,    1889,    1176,    2864,    2548,    2597,    2310,    2196,    2054,    1970,    1454,    1609,    1506,    1369,    1247,    1117,     975,     817,     793,
     540,     655,     687,     870,     907,     977,    1100,    1319,    1476,    1458,    1477,    1844,    1969,    2017,    2257,    2234,    2411,    2572,    2561,    2708,    2728,    2757,    2720,    2782,    2932,    2873,    2872,    2508,    2887,    2713,    2471,    2447,    2539,    2319,    2119,    2153,    1915,    1763,     934,    1476,    1381,    1311,    1097,    1022,     863,     840,     784,
     437,     509,     630,     760,     826,    1016,    1041,    1114,    1164,    1497,    1572,    1611,    1734,    1842,    1968,    2084,    2172,    2222,    2319,    2413,    2572,    2467,    2641,    2509,    2636,    2695,    2453,    2478,    2589,    2402,    2371,    1803,    2160,    2095,    1941,    1860,     613,    1638,    1306,    1376,    1338,    1128,    1073,     879,     849,     708,     598,
     357,     497,     544,     664,     771,     920,     914,    1072,    1119,    1273,    1421,    1493,    1595,    1649,    1811,    1885,    1996,    1963,    2223,    2154,    2299,    2277,    2055,    2197,    2313,    2346,    2289,    2241,    2386,    1773,    2198,    2092,    2009,    1856,    1745,    1659,    1136,    1464,    1343,    1231,    1171,    1049,     827,     782,     705,     274,     515,
     365,     411,     486,     638,     643,     697,     772,    1061,    1065,    1208,    1319,    1427,    1364,    1439,    1653,    1771,    1832,    1616,    1921,    1851,    2004,    2076,    2055,    2065,    2064,    2129,    2210,    2068,    1972,    2016,    2000,    1864,    1763,    1655,    1660,    1501,    1421,    1367,    1232,    1121,     959,     937,     789,     664,     612,     332,     481,
     240,     325,     397,     522,     508,     700,     731,     831,     909,    1013,    1066,    1185,    1227,    1363,    1447,    1441,    1586,    1586,    1566,    1717,    1772,    1831,    1992,    1894,    1863,    1863,    1690,    1829,    1849,    1720,    1692,    1530,    1597,    1595,    1390,    1326,    1225,    1127,    1093,    1035,     868,     776,     706,     565,     513,     477,     401,
     252,     243,     253,     356,     477,     614,     609,     689,     728,     822,     949,    1022,    1126,    1204,    1258,    1210,    1357,    1407,    1563,    1533,    1655,    1617,    1513,    1624,    1644,    1474,    1603,    1590,    1501,    1591,    1496,    1472,    1374,    1121,    1174,    1125,    1030,     968,     963,     846,     792,     725,     588,     514,     470,     293,     256,
     108,     266,     219,     322,     370,     487,     490,     631,     645,     755,     808,     935,     981,    1059,    1056,    1200,    1214,    1251,    1304,    1337,    1308,    1323,    1389,    1440,    1531,    1479,    1340,    1436,    1404,    1352,    1292,    1161,    1182,    1107,    1000,    1035,     973,     840,     837,     707,     601,     552,     474,     394,     371,     302,     240,
     121,     162,     206,     290,     308,     399,     450,     481,     519,     664,     710,     697,     785,     893,     934,     983,    1016,    1062,    1155,    1167,    1162,    1174,    1181,    1201,    1259,    1227,    1206,    1265,     591,    1140,     953,     958,     542,     957,     917,     825,     781,     780,     632,     619,     511,     427,     381,     370,     265,     230,     157,
      72,     184,     160,     185,     269,     297,     296,     430,     504,     496,     537,     675,     645,     739,     776,     770,     895,     932,     943,     993,     949,     956,     975,     974,     970,     982,    1036,    1110,     968,     918,     976,     851,     837,     842,     725,     740,     622,     554,     508,     467,     420,     387,     345,     299,     202,     173,     132,
      86,     117,     100,     193,     192,     252,     266,     366,     392,     414,     467,     510,     532,     634,     640,     646,     699,     759,     819,     842,     785,     732,     839,     911,     801,     808,     826,     803,     819,     785,     732,     700,     645,     677,     596,     553,     496,     404,     424,     368,     311,     289,     141,     170,     112,     115,     NaN,
