Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       07-16-2024
Time HH:MM:SS          ,       16:17:17


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.010
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -0.528
Beam Center Y [mm]     ,       1.038
Beam Diameter X [mm]   ,       7.028
Beam Diameter Y [mm]   ,       4.971


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       5.304
Pupil Diameter Y [mm]  ,       5.304
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
     442,     826,     864,     793,    1612,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1718,    1144,    1325,    1214,    1088,    1376,    1964,     317,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     836,     956,     823,     928,    1877,      15,     NaN,     NaN,     NaN,     NaN,     NaN,     149,     418,     228,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1783,    1347,    1479,    1345,    1319,    1676,    1044,    1811,     424,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      82,
     836,     830,    1070,     973,    1898,      43,     NaN,     NaN,     NaN,      35,    1801,    2855,    2476,    1299,    2495,     234,     NaN,     NaN,     NaN,     NaN,    1948,    1382,    1380,    1325,    1742,    2095,    2146,    1836,    2571,    2420,     420,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      24,     254,      56,
     531,    1005,     898,    1100,    1953,      79,     NaN,     NaN,     NaN,    1803,    2004,    1654,    2219,    1967,    1681,    2735,      95,     NaN,     NaN,     NaN,    1944,    1499,    1539,    1351,      46,     485,     248,     113,      51,     NaN,       3,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     345,     226,      43,      69,
     839,     960,    1078,    1190,    2280,      84,     NaN,     NaN,     201,    3034,    1631,    1596,    1936,    2016,    2147,    2483,    1043,     NaN,     NaN,     NaN,    1949,    1685,    2527,     645,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     217,     442,      83,     146,      51,      67,
    1382,    1303,    1173,    1072,    2241,     146,     NaN,     NaN,     546,    2751,    2217,    1959,    2341,    1862,    2182,    1926,    1894,     NaN,     NaN,     NaN,    1638,    1408,    2849,      30,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      55,     618,     376,     137,     199,     142,      82,      39,
      31,     994,    1648,    1319,    2437,     130,     NaN,     NaN,     228,    3338,    1614,    2001,    1678,    2243,    2597,    2841,    1401,     NaN,     NaN,     NaN,    1715,    1958,    2170,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     633,     865,     240,     340,     153,     134,     150,      58,      66,
     NaN,      49,    2144,    1154,    2342,     196,     NaN,     NaN,     NaN,    2622,    2223,    2147,    2352,    2741,    1807,    3511,     223,     NaN,     NaN,     NaN,    1585,    2962,    1157,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     230,    1086,     585,     290,     379,     305,     193,     148,     133,     124,      65,
     NaN,     NaN,    1158,    1241,    2800,     157,     NaN,     NaN,     NaN,     248,    2758,    3235,    2363,    2768,    3623,     890,     NaN,     NaN,     NaN,     NaN,     969,    3740,     274,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     182,    1177,     865,     500,     580,     348,     268,     276,     204,     164,     132,      96,      60,
     NaN,     NaN,     279,    2266,    2288,      81,     NaN,     NaN,     NaN,     NaN,      44,    1013,    1805,    1311,     190,     NaN,     NaN,     NaN,     NaN,     NaN,     468,    3312,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      75,     808,    1281,     492,     670,     488,     468,     350,     255,     145,     102,     123,      66,
