Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00578372

Date MM-DD-YYYY        ,       07-15-2024
Time HH:MM:SS          ,       11:36:27


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       742
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.015
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -0.964
Beam Center Y [mm]     ,       1.725
Beam Diameter X [mm]   ,       6.054
Beam Diameter Y [mm]   ,       2.510


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       5.304
Pupil Diameter Y [mm]  ,       5.304
Pupil Center X [mm]    ,       0.000
Pupil Center Y [mm]    ,       0.000


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
     939,     NaN,     NaN,     NaN,     NaN,     NaN,     269,    2664,    2204,    2238,    2148,    2796,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      15,    3171,    2501,    1993,    2060,     369,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     549,     NaN,     NaN,     NaN,     NaN,     NaN,     269,    2554,    1989,    2103,    2007,    2761,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      11,    2938,    2386,    1539,    2182,     349,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     582,     NaN,     NaN,     NaN,     NaN,     NaN,     157,    2294,    1900,    1896,    1916,    2581,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,      19,    2558,    2128,    1876,    2013,     339,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1481,    1227,    1268,    1111,     984,     800,     707,     627,     465,     380,     322,     232,     187,     142,
     874,     NaN,     NaN,     NaN,     NaN,     NaN,      91,    1975,    1743,    1680,    1770,    2363,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,       4,    2602,    1893,    1692,    1725,     370,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1018,     889,     779,     716,     506,     490,     382,     369,     289,     191,     163,      98,      71,      75,
     495,     NaN,     NaN,     NaN,     NaN,     NaN,      89,    1761,    1512,    1295,    1656,    2285,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    2280,    1673,    1505,    1621,     291,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     940,     615,     409,     477,     493,     441,     330,     329,     248,     216,     125,      38,      66,      47,
     683,     NaN,     NaN,     NaN,     NaN,     NaN,      38,    1572,    1259,    1336,    1449,    1982,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    2131,    1548,    1329,    1460,     291,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     941,     635,     768,     717,     674,     423,     508,     385,     353,     283,     219,     120,     120,      50,
     974,     NaN,     NaN,     NaN,     NaN,     NaN,      15,    1470,    1138,    1129,    1316,    1832,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1846,    1317,    1116,    1226,     141,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     732,     NaN,     NaN,     NaN,     NaN,     NaN,       4,    1342,     962,    1018,    1118,    1603,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1513,    1050,     893,    1116,     101,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     524,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1131,     854,     782,     985,    1489,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1326,     987,     841,     921,      38,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
     603,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     996,     739,     701,     900,    1216,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,    1230,     885,     735,     894,      33,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
