Power points Y
nan,nan,7.0,3129.0,533.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,921.0,1156.0,1292.0,647.0,761.0,649.0,598.0,538.0,513.0,393.0,400.0,295.0,281.0,210.0,228.0,168.0,108.0,87.0,111.0,89.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,1876.0,294.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,55.0,770.0,1534.0,711.0,734.0,615.0,615.0,500.0,423.0,385.0,303.0,246.0,184.0,186.0,164.0,104.0,74.0,76.0,78.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,198.0,973.0,1164.0,505.0,666.0,374.0,427.0,419.0,352.0,301.0,235.0,192.0,196.0,102.0,99.0,68.0,67.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,418.0,1053.0,736.0,377.0,535.0,370.0,354.0,293.0,229.0,196.0,153.0,136.0,120.0,87.0,75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.0,510.0,879.0,466.0,408.0,370.0,313.0,236.0,172.0,171.0,128.0,69.0,86.0,85.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.0,642.0,665.0,269.0,361.0,211.0,226.0,206.0,180.0,127.0,99.0,56.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,68.0,200.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124.0,578.0,436.0,174.0,267.0,150.0,89.0,123.0,64.0,25.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,313.0,1812.0,2990.0,1327.0,200.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,175.0,472.0,215.0,162.0,129.0,140.0,69.0,39.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,536.0,2317.0,1914.0,1069.0,1753.0,1829.0,692.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,271.0,308.0,99.0,144.0,57.0,26.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,665.0,2931.0,1702.0,1820.0,1345.0,1444.0,994.0,1736.0,1265.0,193.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.0,223.0,140.0,48.0,62.0,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
